Id,Regra,Severidade,Categoria,,,,
65083226,no-unused-vars,2,a,,,,
65083226,no-unused-vars,2,,,,,
65084322,no-unused-vars,2,,,,,
65084322,no-undef,2,,,,,
65084475,no-unused-vars,2,,,,,
65084674,no-unused-vars,2,,,,,
65085677,no-undef,2,,,,,
65085677,no-undef,2,,,,,
65085677,no-undef,2,,,,,
65085677,no-undef,2,,,,,
65085677,no-undef,2,,,,,
65085677,no-undef,2,,,,,
65085677,no-undef,2,,,,,
65085677,no-undef,2,,,,,
65085677,no-undef,2,,,,,
65085677,no-undef,2,,,,,
65085677,no-undef,2,,,,,
65085677,no-undef,2,,,,,
65085677,no-undef,2,,,,,
65085750,no-unused-vars,2,,,,,
65085750,no-undef,2,,,,,
65085750,no-undef,2,,,,,
65085750,no-undef,2,,,,,
65085750,no-undef,2,,,,,
65085750,no-undef,2,,,,,
65085750,no-undef,2,,,,,
65086343,no-unused-vars,2,,,,,
65086343,no-unused-vars,2,,,,,
65087341,no-undef,2,,,,,
65087341,no-unused-vars,2,,,,,
65087341,no-undef,2,,,,,
65087341,no-constant-condition,2,,,,,
65087341,no-undef,2,,,,,
65087341,no-unused-vars,2,,,,,
65087341,no-undef,2,,,,,
65087341,no-redeclare,2,,,,,
65087602,no-unused-vars,2,,,,,
65087602,no-undef,2,,,,,
65087602,no-undef,2,,,,,
65087602,no-undef,2,,,,,
65087602,no-undef,2,,,,,
65087602,no-undef,2,,,,,
65087602,no-undef,2,,,,,
65121459,no-undef,2,,,,,
65121459,no-undef,2,,,,,
65121459,no-undef,2,,,,,
65121459,no-undef,2,,,,,
65121459,no-undef,2,,,,,
65121459,no-undef,2,,,,,
65121459,no-undef,2,,,,,
65121459,no-undef,2,,,,,
65121459,no-unused-vars,2,,,,,
65121459,no-unused-vars,2,,,,,
65121459,no-undef,2,,,,,
65121459,no-undef,2,,,,,
65121459,no-undef,2,,,,,
65121459,no-undef,2,,,,,
65121459,no-undef,2,,,,,
65121459,no-undef,2,,,,,
65121459,no-undef,2,,,,,
65121459,no-undef,2,,,,,
65121459,no-undef,2,,,,,
65121459,no-undef,2,,,,,
65121459,no-undef,2,,,,,
65121459,no-undef,2,,,,,
65121459,no-undef,2,,,,,
65121459,no-undef,2,,,,,
65121459,no-undef,2,,,,,
65121459,no-undef,2,,,,,
65121459,no-undef,2,,,,,
65121459,no-undef,2,,,,,
65121459,no-undef,2,,,,,
65121459,no-undef,2,,,,,
65121459,no-self-assign,2,,,,,
65121459,no-undef,2,,,,,
65121459,no-undef,2,,,,,
65121459,no-self-assign,2,,,,,
65121459,no-undef,2,,,,,
65121554,no-unused-vars,2,,,,,
65121554,no-unused-vars,2,,,,,
65121554,no-undef,2,,,,,
65121554,no-undef,2,,,,,
65121554,no-undef,2,,,,,
65121817,no-undef,2,,,,,
65121817,no-undef,2,,,,,
65121817,no-undef,2,,,,,
65121817,no-undef,2,,,,,
65121817,no-unused-vars,2,,,,,
65121898,no-undef,2,,,,,
65121898,no-undef,2,,,,,
65121898,no-undef,2,,,,,
65121898,no-undef,2,,,,,
65122056,no-useless-escape,2,,,,,
65122266,no-unused-vars,2,,,,,
65122266,no-undef,2,,,,,
65122266,no-unused-vars,2,,,,,
65122266,no-undef,2,,,,,
65122266,no-unused-vars,2,,,,,
65122266,no-undef,2,,,,,
65122266,no-undef,2,,,,,
65122266,no-undef,2,,,,,
65122266,no-undef,2,,,,,
65122266,no-undef,2,,,,,
65122266,no-undef,2,,,,,
65122950,no-unused-vars,2,,,,,
65123243,no-undef,2,,,,,
65123243,no-undef,2,,,,,
65123362,no-extra-semi,2,,,,,
65123362,no-extra-semi,2,,,,,
65123362,no-extra-semi,2,,,,,
65123805,no-undef,2,,,,,
65123805,no-undef,2,,,,,
65123942,no-unused-vars,2,,,,,
65124296,no-undef,2,,,,,
65124296,no-undef,2,,,,,
65124296,no-undef,2,,,,,
65124296,no-undef,2,,,,,
65124336,no-undef,2,,,,,
65125119,no-unused-vars,2,,,,,
65125119,no-unreachable,2,,,,,
65125286,no-unused-vars,2,,,,,
65125724,no-undef,2,,,,,
65125724,no-undef,2,,,,,
65127162,no-unused-vars,2,,,,,
65127305,no-undef,2,,,,,
65128473,no-undef,2,,,,,
65128473,no-undef,2,,,,,
65128473,no-undef,2,,,,,
65128473,no-undef,2,,,,,
65128473,no-undef,2,,,,,
65128473,no-undef,2,,,,,
65128473,no-undef,2,,,,,
65128473,no-undef,2,,,,,
65128473,no-undef,2,,,,,
65128473,no-undef,2,,,,,
65128473,no-undef,2,,,,,
65128473,no-undef,2,,,,,
65128473,no-undef,2,,,,,
65128473,no-undef,2,,,,,
65128473,no-undef,2,,,,,
65128473,no-undef,2,,,,,
65128473,no-undef,2,,,,,
65128473,no-undef,2,,,,,
65128473,no-undef,2,,,,,
65128473,no-undef,2,,,,,
65128473,no-undef,2,,,,,
65128473,no-undef,2,,,,,
65128613,no-undef,2,,,,,
65128613,no-undef,2,,,,,
65128613,no-undef,2,,,,,
65128613,no-undef,2,,,,,
65128613,no-undef,2,,,,,
65128613,no-undef,2,,,,,
65128613,no-undef,2,,,,,
65128613,no-undef,2,,,,,
65128613,no-undef,2,,,,,
65128613,no-undef,2,,,,,
65130344,no-undef,2,,,,,
65130344,no-unused-vars,2,,,,,
65130344,no-undef,2,,,,,
65130344,no-unused-vars,2,,,,,
65130344,no-undef,2,,,,,
65130723,no-unused-vars,2,,,,,
65130723,no-undef,2,,,,,
65130776,no-undef,2,,,,,
65131048,no-undef,2,,,,,
65131048,no-undef,2,,,,,
65131048,no-undef,2,,,,,
65131048,no-undef,2,,,,,
65131119,no-undef,2,,,,,
65131119,no-undef,2,,,,,
65131119,no-undef,2,,,,,
65131119,no-undef,2,,,,,
65131119,no-undef,2,,,,,
65132062,no-unused-vars,2,,,,,
65132062,no-undef,2,,,,,
65132062,no-undef,2,,,,,
65132062,no-undef,2,,,,,
65132062,no-undef,2,,,,,
65132062,no-undef,2,,,,,
65132062,no-undef,2,,,,,
65132483,no-unused-vars,2,,,,,
65132483,no-unused-vars,2,,,,,
65132635,no-unused-vars,2,,,,,
65132635,no-unused-vars,2,,,,,
65132870,no-undef,2,,,,,
65132870,no-undef,2,,,,,
65132870,no-undef,2,,,,,
65133016,no-undef,2,,,,,
65133016,no-undef,2,,,,,
65133016,no-unused-vars,2,,,,,
65133016,no-undef,2,,,,,
65133016,no-undef,2,,,,,
65133016,no-undef,2,,,,,
65133016,no-undef,2,,,,,
65133016,no-undef,2,,,,,
65133016,no-undef,2,,,,,
65133157,no-unused-vars,2,,,,,
65133882,no-undef,2,,,,,
65133882,no-undef,2,,,,,
65133882,no-undef,2,,,,,
65134139,no-unused-vars,2,,,,,
65134139,no-undef,2,,,,,
65134164,no-constant-condition,2,,,,,
65134164,no-constant-condition,2,,,,,
65134370,no-undef,2,,,,,
65134370,no-undef,2,,,,,
65134370,no-undef,2,,,,,
65136044,no-redeclare,2,,,,,
65136044,no-redeclare,2,,,,,
65136063,no-undef,2,,,,,
65136063,no-undef,2,,,,,
65137057,no-async-promise-executor,2,,,,,
65137057,no-undef,2,,,,,
65137057,no-unused-vars,2,,,,,
65137057,no-async-promise-executor,2,,,,,
65137057,no-undef,2,,,,,
65137057,no-undef,2,,,,,
65137057,no-undef,2,,,,,
65137681,no-undef,2,,,,,
65137681,no-undef,2,,,,,
65137681,no-undef,2,,,,,
65137681,no-undef,2,,,,,
65137681,no-undef,2,,,,,
65137681,no-undef,2,,,,,
65137681,no-undef,2,,,,,
65137681,no-undef,2,,,,,
65137681,no-undef,2,,,,,
65138092,no-undef,2,,,,,
65138092,no-undef,2,,,,,
65138853,no-unused-vars,2,,,,,
65138853,no-unused-vars,2,,,,,
65139355,no-case-declarations,2,,,,,
65139355,no-unused-vars,2,,,,,
65139355,no-fallthrough,2,,,,,
65139355,no-case-declarations,2,,,,,
65139355,no-unused-vars,2,,,,,
65139355,no-undef,2,,,,,
65139355,no-undef,2,,,,,
65139355,no-undef,2,,,,,
65139355,no-undef,2,,,,,
65139355,no-undef,2,,,,,
65139355,no-unused-vars,2,,,,,
65139518,no-undef,2,,,,,
65139518,no-undef,2,,,,,
65139518,no-unused-vars,2,,,,,
65139518,no-unused-vars,2,,,,,
65140021,no-unused-vars,2,,,,,
65140995,no-undef,2,,,,,
65140995,no-undef,2,,,,,
65140995,no-undef,2,,,,,
65140995,no-undef,2,,,,,
65140995,no-undef,2,,,,,
65140995,no-undef,2,,,,,
65140995,no-undef,2,,,,,
65140995,no-undef,2,,,,,
65140995,no-undef,2,,,,,
65140995,no-undef,2,,,,,
65140995,no-undef,2,,,,,
65140995,no-undef,2,,,,,
65140995,no-undef,2,,,,,
65140995,no-undef,2,,,,,
65140995,no-undef,2,,,,,
65140995,no-undef,2,,,,,
65142351,no-undef,2,,,,,
65143295,no-unused-vars,2,,,,,
65143295,no-undef,2,,,,,
65143295,no-unused-vars,2,,,,,
65143295,no-undef,2,,,,,
65143295,no-undef,2,,,,,
65143295,no-undef,2,,,,,
65143331,no-undef,2,,,,,
65143331,no-undef,2,,,,,
65143411,no-unused-vars,2,,,,,
65143411,no-undef,2,,,,,
65143411,no-undef,2,,,,,
65143411,no-undef,2,,,,,
65143411,no-undef,2,,,,,
65143411,no-undef,2,,,,,
65143411,no-undef,2,,,,,
65144265,no-unused-vars,2,,,,,
65144294,no-unused-vars,2,,,,,
65144294,no-undef,2,,,,,
65144294,no-redeclare,2,,,,,
65144294,no-undef,2,,,,,
65145619,no-undef,2,,,,,
65145619,no-undef,2,,,,,
65145619,no-undef,2,,,,,
65145619,no-undef,2,,,,,
65145619,no-undef,2,,,,,
65145619,no-undef,2,,,,,
65145619,no-undef,2,,,,,
65147347,no-redeclare,2,,,,,
65147347,no-redeclare,2,,,,,
65148927,no-undef,2,,,,,
65148927,no-undef,2,,,,,
65148927,no-undef,2,,,,,
65148927,no-undef,2,,,,,
65149121,no-unused-vars,2,,,,,
65149612,no-unused-vars,2,,,,,
65151075,no-unused-vars,2,,,,,
65151075,no-unused-vars,2,,,,,
65151075,no-unused-vars,2,,,,,
65151075,no-undef,2,,,,,
65151075,no-undef,2,,,,,
65151355,no-unused-vars,2,,,,,
65151820,no-undef,2,,,,,
65151820,no-undef,2,,,,,
65153220,no-unused-vars,2,,,,,
65153220,no-unused-vars,2,,,,,
65153572,no-unused-vars,2,,,,,
65154096,no-unused-vars,2,,,,,
65154096,no-undef,2,,,,,
65154096,no-undef,2,,,,,
65154096,no-undef,2,,,,,
65154096,no-undef,2,,,,,
65154096,no-undef,2,,,,,
65156238,no-undef,2,,,,,
65156238,no-undef,2,,,,,
65156238,no-undef,2,,,,,
65156238,no-undef,2,,,,,
65156238,no-undef,2,,,,,
65156282,no-func-assign,2,,,,,
65156282,no-redeclare,2,,,,,
65157072,no-undef,2,,,,,
65157072,no-undef,2,,,,,
65157072,no-undef,2,,,,,
65157072,no-undef,2,,,,,
65157072,no-undef,2,,,,,
65157072,no-undef,2,,,,,
65157252,no-undef,2,,,,,
65157252,no-undef,2,,,,,
65157252,no-undef,2,,,,,
65157252,no-undef,2,,,,,
65157252,no-undef,2,,,,,
65158065,no-undef,2,,,,,
65158065,no-undef,2,,,,,
65158065,no-undef,2,,,,,
65158065,no-unused-vars,2,,,,,
65159982,no-unused-vars,2,,,,,
65159982,no-undef,2,,,,,
65159982,no-undef,2,,,,,
65159982,no-undef,2,,,,,
65159982,no-undef,2,,,,,
65160917,no-useless-escape,2,,,,,
65160917,no-undef,2,,,,,
65160917,no-undef,2,,,,,
65161770,no-redeclare,2,,,,,
65161770,no-redeclare,2,,,,,
65162722,no-unused-vars,2,,,,,
65162761,no-unused-vars,2,,,,,
65163008,no-unused-vars,2,,,,,
65163449,no-unused-vars,2,,,,,
65163449,no-undef,2,,,,,
65164069,no-undef,2,,,,,
65164069,no-undef,2,,,,,
65164069,no-undef,2,,,,,
65164069,no-undef,2,,,,,
65164069,no-undef,2,,,,,
65164069,no-undef,2,,,,,
65164069,no-undef,2,,,,,
65164202,no-unused-vars,2,,,,,
65164202,no-undef,2,,,,,
65164202,no-undef,2,,,,,
65164315,no-undef,2,,,,,
65164315,no-undef,2,,,,,
65164315,no-undef,2,,,,,
65164315,no-undef,2,,,,,
65164315,no-undef,2,,,,,
65164315,no-undef,2,,,,,
65091350,no-undef,2,,,,,
65091350,no-undef,2,,,,,
65091350,no-undef,2,,,,,
65091350,no-undef,2,,,,,
65091350,no-undef,2,,,,,
65091350,no-undef,2,,,,,
65091350,no-undef,2,,,,,
65091511,no-unused-vars,2,,,,,
65091511,no-undef,2,,,,,
65091511,no-unused-vars,2,,,,,
65091511,no-undef,2,,,,,
65091522,no-undef,2,,,,,
65091522,no-undef,2,,,,,
65091522,no-unused-vars,2,,,,,
65091522,no-undef,2,,,,,
65092492,no-undef,2,,,,,
65092492,no-undef,2,,,,,
65092502,no-unused-vars,2,,,,,
65092502,no-undef,2,,,,,
65092502,no-undef,2,,,,,
65092502,no-undef,2,,,,,
65092502,no-undef,2,,,,,
65092502,no-undef,2,,,,,
65094672,no-unused-vars,2,,,,,
65094672,no-undef,2,,,,,
65094953,no-undef,2,,,,,
65094953,no-unused-vars,2,,,,,
65095448,no-unused-vars,2,,,,,
65095448,no-undef,2,,,,,
65095448,no-undef,2,,,,,
65095448,no-undef,2,,,,,
65095448,no-undef,2,,,,,
65097032,no-undef,2,,,,,
65097032,no-useless-escape,2,,,,,
65097032,no-unused-vars,2,,,,,
65097120,no-unused-vars,2,,,,,
65097120,no-undef,2,,,,,
65097693,no-undef,2,,,,,
65097949,no-undef,2,,,,,
65097949,no-undef,2,,,,,
65097949,no-undef,2,,,,,
65098077,no-undef,2,,,,,
65098077,no-undef,2,,,,,
65098968,no-unused-vars,2,,,,,
65098968,no-unused-vars,2,,,,,
65100024,no-undef,2,,,,,
65100024,no-unused-vars,2,,,,,
65100024,no-unused-vars,2,,,,,
65100024,no-undef,2,,,,,
65100024,no-undef,2,,,,,
65100069,no-undef,2,,,,,
65100069,no-unused-vars,2,,,,,
65100069,no-unused-vars,2,,,,,
65100069,no-undef,2,,,,,
65100405,no-unused-vars,2,,,,,
65100405,no-undef,2,,,,,
65100405,no-unused-vars,2,,,,,
65100676,no-unused-vars,2,,,,,
65100676,no-unused-vars,2,,,,,
65100676,no-unused-vars,2,,,,,
65100676,no-undef,2,,,,,
65100676,no-undef,2,,,,,
65100676,no-undef,2,,,,,
65100676,no-undef,2,,,,,
65100676,no-undef,2,,,,,
65100676,no-undef,2,,,,,
65100726,no-unused-vars,2,,,,,
65100726,no-undef,2,,,,,
65100726,no-undef,2,,,,,
65100726,no-undef,2,,,,,
65100726,no-undef,2,,,,,
65100726,no-undef,2,,,,,
65100726,no-undef,2,,,,,
65100726,no-undef,2,,,,,
65101281,no-undef,2,,,,,
65101281,no-undef,2,,,,,
65101281,no-undef,2,,,,,
65101281,no-undef,2,,,,,
65101281,no-undef,2,,,,,
65101281,no-undef,2,,,,,
65101281,no-undef,2,,,,,
65101663,no-unused-vars,2,,,,,
65101664,no-unused-vars,2,,,,,
65101768,no-undef,2,,,,,
65101768,no-undef,2,,,,,
65101768,no-undef,2,,,,,
65101768,no-undef,2,,,,,
65101768,no-undef,2,,,,,
65101768,no-undef,2,,,,,
65102509,no-unused-vars,2,,,,,
65102509,no-undef,2,,,,,
65102615,no-unused-vars,2,,,,,
65102932,no-undef,2,,,,,
65102932,no-undef,2,,,,,
65102932,no-undef,2,,,,,
65102932,no-undef,2,,,,,
65102932,no-undef,2,,,,,
65102932,no-undef,2,,,,,
65102932,no-undef,2,,,,,
65102932,no-undef,2,,,,,
65102932,no-undef,2,,,,,
65102932,no-undef,2,,,,,
65102932,no-undef,2,,,,,
65104785,no-extra-semi,2,,,,,
65104785,no-unused-vars,2,,,,,
65104785,no-unused-vars,2,,,,,
65107499,no-unused-vars,2,,,,,
65107974,valid-typeof,2,,,,,
65107974,no-undef,2,,,,,
65108036,no-undef,2,,,,,
65108907,no-undef,2,,,,,
65108907,no-undef,2,,,,,
65108907,no-undef,2,,,,,
65108907,no-undef,2,,,,,
65108907,no-undef,2,,,,,
65108907,no-undef,2,,,,,
65108907,no-undef,2,,,,,
65108907,no-undef,2,,,,,
65108907,no-undef,2,,,,,
65108907,no-undef,2,,,,,
65112302,no-unused-vars,2,,,,,
65112302,no-unused-vars,2,,,,,
65112800,no-unused-vars,2,,,,,
65112800,no-redeclare,2,,,,,
65112800,no-redeclare,2,,,,,
65113780,no-unused-vars,2,,,,,
65113780,no-undef,2,,,,,
65113780,no-extra-semi,2,,,,,
65114239,no-undef,2,,,,,
65114477,no-unused-vars,2,,,,,
65114477,no-undef,2,,,,,
65114477,no-undef,2,,,,,
65114477,no-undef,2,,,,,
65115716,no-undef,2,,,,,
65115716,no-undef,2,,,,,
65116071,no-redeclare,2,,,,,
65117455,no-unused-vars,2,,,,,
65117455,no-undef,2,,,,,
65117455,no-undef,2,,,,,
65117455,no-undef,2,,,,,
65117455,no-undef,2,,,,,
65117455,no-unused-vars,2,,,,,
65117455,no-undef,2,,,,,
65117455,no-extra-semi,2,,,,,
65117754,no-unused-vars,2,,,,,
65117754,no-undef,2,,,,,
65117754,no-undef,2,,,,,
65117754,no-useless-escape,2,,,,,
65117754,no-useless-escape,2,,,,,
65117754,no-undef,2,,,,,
65117929,no-unused-vars,2,,,,,
65117929,no-undef,2,,,,,
65117929,no-undef,2,,,,,
65117995,no-unused-vars,2,,,,,
65117995,no-undef,2,,,,,
65120239,no-undef,2,,,,,
65121205,no-unused-vars,2,,,,,
65121205,no-unused-labels,2,,,,,
65121205,no-irregular-whitespace,2,,,,,
65121205,no-unused-labels,2,,,,,
65121205,no-irregular-whitespace,2,,,,,
65121205,no-unused-labels,2,,,,,
65121205,no-irregular-whitespace,2,,,,,
65121205,no-unused-labels,2,,,,,
65121205,no-irregular-whitespace,2,,,,,
65121205,no-unused-labels,2,,,,,
65121205,no-irregular-whitespace,2,,,,,
65121205,no-unused-labels,2,,,,,
65121205,no-irregular-whitespace,2,,,,,
65121205,no-unused-labels,2,,,,,
65121205,no-irregular-whitespace,2,,,,,
65121205,no-unused-labels,2,,,,,
65121205,no-irregular-whitespace,2,,,,,
65121205,no-unused-labels,2,,,,,
65121205,no-irregular-whitespace,2,,,,,
65121336,no-undef,2,,,,,
65121336,no-undef,2,,,,,
65121336,no-undef,2,,,,,
65121336,no-undef,2,,,,,
